user_id,tag_1,tag_2,tag_3,tag_4,tag_5,num_trajectories,num_stay_points,num_clusters
user_864,amenity-bar: 2,amenity-cafe: 2,amenity-school: 1,leisure-pitch: 1,amenity-clinic: 1,63,212,4
user_865,shop-supermarket: 2,amenity-ice_cream: 2,leisure-park: 1,amenity-pharmacy: 1,leisure-swimming_pool: 1,37,183,3
user_866,amenity-restaurant: 1,shop-car_repair: 1,amenity-place_of_worship: 1,,,58,363,3
user_867,amenity-hospital: 1,leisure-playground: 1,amenity-school: 1,,,15,97,2
user_868,shop-hairdresser: 5,shop-beauty: 4,amenity-bar: 3,amenity-fast_food: 2,leisure-pitch: 2,75,517,14
user_869,amenity-cafe: 1,amenity-restaurant: 1,shop-confectionery: 1,amenity-bar: 1,,103,294,2
user_870,leisure-park: 6,shop-beauty: 2,amenity-clinic: 1,amenity-cafe: 1,leisure-pitch: 1,25,206,5
user_871,amenity-school: 1,leisure-park: 1,,,,17,91,2
user_872,amenity-clinic: 1,leisure-park: 1,leisure-sports_centre: 1,amenity-school: 1,,27,125,4
user_873,,,,,,54,62,0
user_874,amenity-bank: 8,amenity-bar: 3,shop-bakery: 3,amenity-restaurant: 3,shop-hairdresser: 2,41,236,9
user_875,amenity-cafe: 2,amenity-school: 1,leisure-sports_centre: 1,amenity-college: 1,amenity-bar: 1,32,164,3
user_876,amenity-restaurant: 7,amenity-bar: 7,leisure-park: 5,amenity-school: 5,shop-hairdresser: 5,104,622,14
user_877,amenity-bank: 1,,,,,42,211,2
user_878,leisure-garden: 4,amenity-restaurant: 4,amenity-bar: 3,shop-hairdresser: 3,shop-hardware: 2,22,135,5
user_879,leisure-pitch: 4,amenity-kindergarten: 1,shop-car_repair: 1,amenity-school: 1,,33,339,4
user_880,amenity-university: 2,historic-monument: 2,leisure-garden: 1,amenity-cafe: 1,,41,181,3
user_881,amenity-school: 3,leisure-swimming_pool: 2,amenity-nightclub: 1,,,24,201,6
user_882,amenity-bar: 8,amenity-restaurant: 7,amenity-pub: 5,shop-furniture: 3,shop-hairdresser: 3,105,660,7
user_883,shop-hairdresser: 6,leisure-pitch: 5,amenity-bank: 4,amenity-school: 3,amenity-cafe: 3,102,375,12
user_884,leisure-park: 4,leisure-pitch: 3,shop-confectionery: 2,shop-hairdresser: 2,amenity-school: 2,66,229,6
user_885,tourism-attraction: 5,tourism-gallery: 2,amenity-hospital: 2,amenity-kindergarten: 1,amenity-bar: 1,104,590,19
user_886,amenity-restaurant: 5,shop-supermarket: 2,amenity-cafe: 2,shop-confectionery: 1,shop-beauty: 1,83,535,9
user_887,amenity-bar: 4,shop-hairdresser: 3,amenity-restaurant: 2,amenity-cinema: 1,shop-furniture: 1,88,538,7
user_888,leisure-park: 4,shop-hairdresser: 2,amenity-bar: 2,shop-car_repair: 1,shop-bakery: 1,64,335,7
user_889,leisure-sports_centre: 2,leisure-park: 2,leisure-pitch: 1,leisure-swimming_pool: 1,shop-hairdresser: 1,104,626,11
user_890,amenity-school: 5,leisure-pitch: 4,leisure-playground: 3,amenity-cafe: 3,leisure-park: 2,69,553,11
user_891,amenity-school: 4,shop-hairdresser: 3,leisure-pitch: 3,shop-supermarket: 2,amenity-pharmacy: 2,63,511,10
user_892,amenity-fast_food: 8,amenity-pharmacy: 2,amenity-bank: 2,shop-hairdresser: 2,amenity-place_of_worship: 2,79,239,4
